equipes,no_cidade,lat,long
"26","Juruá","-3.47488959889068","-66.0630419255434"
"80","Jutaí","-2.74464644685785","-66.7713275466878"
"102","Lábrea","-7.26194655332705","-64.79477302752"
"245","Manacapuru","-3.29827803546755","-60.6205894458706"
"26","Manaquiri","-3.42907966935262","-60.4588813063745"
"939","Manaus","-3.13469149120195","-60.023335181061"
"135","Manicoré","-5.81320526118813","-61.2992484088508"
"61","Maraã","-1.86643687730125","-65.574283703164"
"132","Maués","-3.38642792621105","-57.7150343867524"
"58","Nhamundá","-2.1889837668969","-56.7167699133376"
"106","Nova Olinda do Norte","-3.88759283191138","-59.0930740260433"
"43","Novo Airão","-2.62343245902762","-60.948810707829"
"62","Novo Aripuanã","-5.12266931419616","-60.3770456690009"
"232","Parintins","-2.62705258583722","-56.7362921451951"
"59","Pauini","-7.71404364432219","-67.0020974885282"
"79","Presidente Figueiredo","-2.058429085233","-60.0256468344675"
"85","Rio Preto da Eva","-2.69330154164509","-59.704738094199"
"24","Santa Isabel do Rio Negro","-0.416694831881864","-65.020022639512"
"106","Santo Antônio do Içá","-3.10748630918151","-67.946485143884"
"123","São Gabriel da Cachoeira","-0.136462788116522","-67.0836428963463"
"100","São Paulo de Olivença","-3.46650962349132","-68.9448534881358"
"34","São Sebastião do Uatumã","-2.57015257967785","-57.8703463558346"
"28","Silves","-2.83642742966583","-58.2148008608269"
"144","Tabatinga","-4.23188367564664","-69.9462443752272"
"53","Tapauá","-5.62422351778793","-63.1870948671802"
"203","Tefé","-3.3483724939415","-64.7084196633026"
"64","Tonantins","-2.86109124983543","-67.7764822806952"
"44","Uarini","-2.9836092426921","-65.1553456401554"
"70","Urucará","-2.53661167184038","-57.7598281745956"
"54","Urucurituba","-3.1346331156473","-58.1596410413098"
"21","Amajari","3.6521184454459","-61.420590172663"
"50","Alto Alegre","2.99382294765484","-61.3140223901178"
"269","Boa Vista","2.81668191910439","-60.670532672965"
"15","Bonfim","3.35028861911031","-59.8780066289099"
"39","Cantá","2.60766639841651","-60.6020628476112"
"47","Caracaraí","1.80387124729759","-61.14917687013"
"25","Caroebe","0.872674507186562","-59.6948100736757"
"26","Iracema","2.16821476520387","-61.0522585850197"
"39","Mucajaí","2.47977223505342","-60.9115185306216"
"19","Normandia","3.88297828530181","-59.6352062835683"
"28","Pacaraima","4.47525934021225","-61.1473063471493"
"50","Rorainópolis","0.937195393597556","-60.4250604939819"
"16","São João da Baliza","0.947157427466681","-59.9060443451544"
"20","São Luiz","1.01811162739126","-60.0282667741902"
"18","Uiramutã","4.58544038754255","-60.195716148042"
"346","Abaetetuba","-1.72346986284591","-48.884403820723"
"19","Abel Figueiredo","-4.9513908955313","-48.3967621257945"
"148","Acará","-1.9634365","-48.2004564317501"
"34","Afuá","-0.159171693779796","-50.3914275892332"
"65","Água Azul do Norte","-6.80494886740537","-50.4852745072531"
"135","Alenquer","-1.951397505","-54.7408623501896"
"98","Almeirim","-1.52733880276478","-52.5768350868127"
"116","Altamira","-3.20565951","-52.2143763052078"
"55","Anajás","-0.984451394008702","-49.945001040544"
"800","Ananindeua","-1.36871356826945","-48.372066654168"
"63","Anapu","-3.47610463506868","-51.201621798458"
"106","Augusto Corrêa","-1.02292101","-46.6416457856711"
"78","Aurora do Pará","-2.12937601319444","-47.5561746036128"
"47","Aveiro","-3.60559525928393","-55.3307343898178"
"44","Bagre","-1.88980806036172","-50.2219869206134"
"78","Baião","-2.79196186136136","-49.6727533733253"
"13","Bannach","-7.3510721924244","-50.4060471215195"
"209","Barcarena","-1.505767005","-48.6270728925156"
"576","Belém","-1.459845","-48.4878256874875"
"50","Belterra","-2.64902016946856","-54.9426747393262"
"152","Benevides","-1.361437515","-48.2418364505703"
"44","Bom Jesus do Tocantins","-5.04736270432029","-48.5990399590614"
"40","Bonito","-1.36747435687253","-47.3058918168639"
"328","Bragança","-1.05352395620563","-46.765754213664"
"62","Brasil Novo","-3.29780370400837","-52.5434411922788"
"6","Brejo Grande do Araguaia","-5.70729615383609","-48.4057604223874"
"106","Breu Branco","-3.77813541287867","-49.5698796832857"
"280","Breves","-1.6907365","-50.4808947990195"
"61","Bujaru","-1.5139914623006","-48.035875014396"
"89","Cachoeira do Piriá","-1.75289700493124","-46.5473914166255"
"60","Cachoeira do Arari","-1.00878626563928","-48.9606675773871"
"225","Cametá","-2.24683848","-49.497830168997"
"88","Canaã dos Carajás","-6.5321966156294","-49.8489584319153"
"164","Capanema","-1.192441995","-47.1751261231344"
"148","Capitão Poço","-1.74618729323751","-47.0628253774009"
"360","Castanhal","-1.29575680504525","-47.9266431419442"
"71","Chaves","-0.162437290121911","-49.9893186050713"
"37","Colares","-0.932091243957739","-48.2887284319494"
"123","Conceição do Araguaia","-8.26486353","-49.2645008124957"
"84","Concórdia do Pará","-1.98452146277275","-47.9498869390047"
"38","Cumaru do Norte","-7.81110653689927","-50.771578377513"
"49","Curionópolis","-6.09681995220666","-49.6022142249504"
"73","Curralinho","-1.80942341966693","-49.7915228470854"
"39","Curuá","-1.88992870430548","-55.1196786087308"
"110","Curuçá","-0.73249551","-47.8512650859351"
"116","Dom Eliseu","-4.29077772","-47.5559148859934"
"69","Eldorado do Carajás","-6.10352516107138","-49.3739519421522"
"37","Faro","-2.17297524194976","-56.745753017307"
"45","Floresta do Araguaia","-7.55870087237007","-49.6975784122373"
"83","Garrafão do Norte","-1.93169704310669","-47.0450460172972"
"70","Goianésia do Pará","-3.842468","-49.1010449237426"
"96","Gurupá","-1.404918","-51.6436957233941"
"103","Igarapé-Açu","-1.124322","-47.6223754920271"
"140","Igarapé-Miri","-1.983116","-48.9622994689466"
"33","Inhangapi","-1.42658198091031","-47.9133927465885"
"80","Ipixuna do Pará","-2.5575285","-47.4997175887983"
"100","Irituia","-1.771474995","-47.4407556128483"
"189","Itaituba","-4.26372948","-55.9900488572777"
"133","Itupiranga","-5.12883702636091","-49.3244258612861"
"30","Jacareacanga","-6.22355173138644","-57.7663398583794"
"141","Jacundá","-4.448405475","-49.1127815625675"
"152","Juruti","-2.155252995","-56.0949976884001"
"82","Limoeiro do Ajuru","-1.8919485","-49.3815339012019"
"54","Mãe do Rio","-2.04770744079075","-47.5522901794773"
"24","Magalhães Barata","-0.795850156021161","-47.5991818964912"
"354","Marabá","-5.35260576313025","-49.1420253334067"
"102","Maracanã","-0.762419459981231","-47.4552679594076"
"56","Marapanim","-0.712150996347819","-47.7025487537677"
"157","Marituba","-1.34641726557579","-48.340535877783"
"89","Medicilândia","-3.44541741218688","-52.8883453507243"
"68","Melgaço","-1.80344669864099","-50.7174646976964"
"60","Mocajuba","-2.58287297327153","-49.5090234612728"
"117","Moju","-1.885889","-48.7671991273719"
"42","Mojuí dos Campos","-2.68168201294185","-54.6510924503818"
"160","Monte Alegre","-2.003328","-54.073374725636"
"82","Muaná","-1.5300262083549","-49.2168324424737"
"64","Nova Esperança do Piriá","-2.26762598903129","-46.9620928836736"
"40","Nova Ipixuna","-4.92308630702649","-49.0798869380164"
"43","Nova Timboteua","-1.20414364746686","-47.3932022764599"
"49","Novo Progresso","-7.03483591328811","-55.4198701179784"
"118","Novo Repartimento","-4.2481485","-49.9486382443426"
"108","Óbidos","-1.9092354958812","-55.5163235097126"
"83","Oeiras do Pará","-2.004734","-49.8551061087735"
"106","Oriximiná","-1.7637535","-55.8627995152359"
"50","Ourém","-1.54894714230244","-47.1176193628501"
"78","Ourilândia do Norte","-6.74061708637736","-51.0908327746816"
"127","Pacajá","-3.8303057037573","-50.6348408304298"
"20","Palestina do Pará","-5.74993410622605","-48.3217937261637"
"178","Paragominas","-2.9941905","-47.3569615610518"
"243","Parauapebas","-6.07272988763183","-49.9007806342969"
"22","Pau D'Arco","-7.83679440397357","-50.0482755318998"
"24","Peixe-Boi","-1.18956924075654","-47.3179270215591"
"45","Piçarra","-6.45367623455792","-48.8684006672187"
"77","Placas","-3.86731556213535","-54.2169681312654"
"72","Ponta de Pedras","-1.3965999975235","-48.8717855600433"
"75","Portel","-1.936451","-50.822490442211"
"72","Porto de Moz","-1.74609008880884","-52.2424769190201"
"85","Prainha","-1.8056945","-53.4818139407895"
"30","Primavera","-0.940111515930574","-47.1172512589125"
"34","Quatipuru","-0.900115853739325","-47.006786993576"
"150","Redenção","-8.0276045","-50.0296418255092"
"49","Rio Maria","-7.31111524468814","-50.0464108775224"
"118","Rondon do Pará","-4.77782172703554","-48.0699737493982"
"116","Rurópolis","-4.09906539","-54.905862259869"
"97","Salinópolis","-0.623638","-47.3531202631536"
"34","Salvaterra","-0.754525974353047","-48.5131865994469"
"45","Santa Bárbara do Pará","-1.22943946699244","-48.2977406497887"
"26","Santa Cruz do Arari","-0.659974125599254","-49.1716155661252"
"150","Santa Izabel do Pará","-1.29739590129142","-48.1630599409531"
"53","Santa Luzia do Pará","-1.51882789138751","-46.9061692026983"
"45","Santa Maria das Barreiras","-8.87055053969294","-49.7193518572257"
"68","Santa Maria do Pará","-1.3478664592967","-47.5746954138091"
